subset,scripts
ab,Cyrl
ace,Latn
ady,Cyrl
af,Latn
als,Latn
alt,Cyrl
ami,Latn
am,Ethi
ang,Latn
anp,Deva
an,Latn
arc,Syrc
ar,Arab
ary,Arab
arz,Arab
ast,Latn
as,Beng
atj,Latn
avk,Latn
av,Cyrl
awa,Deva
ay,Latn
azb,Arab
az,Latn
ban,Latn
bar,Latn
bat_smg,Latn
ba,Cyrl
bbc,Latn
bcl,Latn
be,Cyrl
bg,Cyrl
bh,Deva
bi,Latn
bjn,Latn
blk,Mymr
bm,Latn
bn,Beng
bo,Tibt
bpy,Beng
br,Latn
bs,Latn
bug,Bugi/Latn
bxr,Cyrl
ca,Latn
cbk_zam,Latn
cdo,Latn
ceb,Latn
ce,Cyrl
chr,Cher
ch,Latn
chy,Latn
ckb,Arab
co,Latn
crh,Latn
cr,
csb,Latn
cs,Latn
cu,Cyrl
cv,Cyrl
cy,Latn
dag,Latn
da,Latn
de,Latn
dga,Latn
din,Latn
diq,Latn
dsb,Latn
dty,Deva
dv,Thaa
dz,Tibt
ee,Latn
el,Grek
eml,Latn
en,Latn
eo,Latn
es,Latn
et,Latn
eu,Latn
ext,Latn
fat,Latn
fa,Arab
ff,Latn
fiu_vro,Latn
fi,Latn
fj,Latn
fon,Latn
fo,Latn
frp,Latn
frr,Latn
fr,Latn
fur,Latn
fy,Latn
gag,Latn
gan,Hani
ga,Latn
gcr,Latn
gd,Latn
glk,Arab
gl,Latn
gn,Latn
gom,Deva/Latn/Knda
gor,Latn
got,Goth
gpe,Latn
guc,Latn
gur,Latn
gu,Gujr
guw,Latn
gv,Latn
hak,Latn
ha,Latn
haw,Latn
he,Hebr
hif,Latn
hi,Deva
hr,Latn
hsb,Latn
ht,Latn
hu,Latn
hy,Armn
hyw,Armn
ia,Latn
id,Latn
ie,Latn
ig,Latn
ik,Latn
ilo,Latn
inh,Cyrl
io,Latn
is,Latn
it,Latn
iu,Cans
jam,Latn
ja,Jpan
jbo,Latn
jv,Latn
kaa,Latn
kab,Latn
ka,Geor
kbd,Cyrl
kbp,Latn
kcg,Latn
kg,Latn
ki,Latn
kk,Cyrl
kl,Latn
km,Khmr
kn,Knda
koi,Cyrl
ko,Hang
krc,Cyrl
ksh,Latn
ks,Arab
ku,Latn/Arab
kv,Cyrl
kw,Latn
ky,Cyrl
lad,Latn
la,Latn
lbe,Cyrl
lb,Latn
lez,Cyrl
lfn,Latn
lg,Latn
lij,Latn
li,Latn
lld,Latn
lmo,Latn
ln,Latn
lo,Laoo
ltg,Latn
lt,Latn
lv,Latn
mad,Latn
mai,Deva
map_bms,Latn
mdf,Cyrl
mg,Latn
mhr,Cyrl
min,Latn
mi,Latn
mk,Cyrl
ml,Mlym
mni,Mtei/Beng/Latn
mn,Cyrl
mnw,Mymr
mrj,Cyrl
mr,Deva
ms,Latn
mt,Latn
mwl,Latn
myv,Cyrl
my,Mymr
mzn,Arab
nah,Latn
nap,Latn
nds_nl,Latn
nds,Latn
ne,Deva
new,Deva
nia,Latn
nl,Latn
nn,Latn
nov,Latn
no,Latn
nqo,Nkoo
nrm,Latn
nso,Latn
nv,Latn
ny,Latn
oc,Latn
olo,Latn
om,Latn
or,Orya
os,Cyrl
pag,Latn
pam,Latn
pap,Latn
pa,Guru
pcd,Latn
pcm,Latn
pdc,Latn
pfl,Latn
pih,
pi,Deva/Latn
pl,Latn
pms,Latn
pnb,Arab
pnt,Grek
ps,Arab
pt,Latn
pwn,Latn
qu,Latn
rm,Latn
rmy,Latn
rn,Latn
roa_rup,Latn
roa_tara,Latn
ro,Latn
rue,Cyrl
ru,Cyrl
rw,Latn
sah,Cyrl
sat,Olck
sa,Deva
scn,Latn
sco,Latn
sc,Latn
sd,Arab
se,Latn
sg,Latn
shi,Latn/Tfng
shn,Mymr
sh,Latn
simple,Latn
si,Sinh
skr,Arab
sk,Latn
sl,Latn
smn,Latn
sm,Latn
sn,Latn
so,Latn
sq,Latn
srn,Latn
sr,Cyrl/Latn
ss,Latn
stq,Latn
st,Latn
su,Latn
sv,Latn
sw,Latn
szl,Latn
szy,Latn
ta,Taml
tay,Latn
tcy,Knda
tet,Latn
te,Telu
tg,Cyrl/Latn
th,Thai
ti,Ethi
tk,Latn
tl,Latn
tly,Latn
tn,Latn
to,Latn
tpi,Latn
trv,Latn
tr,Latn
ts,Latn
tt,Cyrl
tum,Latn
tw,Latn
tyv,Cyrl
ty,Latn
udm,Cyrl
ug,Arab
uk,Cyrl
ur,Arab
uz,Latn/Cyrl
vec,Latn
vep,Latn
ve,Latn
vi,Latn
vls,Latn
vo,Latn
war,Latn
wa,Latn
wo,Latn
wuu,Hani
xal,Cyrl
xh,Latn
xmf,Geor
yi,Hebr
yo,Latn
za,Latn
zea,Latn
zgh,Tfng
zh_classical,Hani
zh_min_nan,Latn
zh_yue,Hani
zh,Hani
zu,Latn
lis,Deva/Latn
